symbol_id,ticker,exchange,currency,active_from,active_to
1,AAPL,XNAS,USD,2020-01-01T00:00:00+00:00,
2,MSFT,XNAS,USD,2020-01-01T00:00:00+00:00,
3,GOOGL,XNAS,USD,2020-01-01T00:00:00+00:00,
4,AMZN,XNAS,USD,2020-01-01T00:00:00+00:00,
5,TSLA,XNAS,USD,2020-01-01T00:00:00+00:00,
6,META,XNAS,USD,2020-01-01T00:00:00+00:00,
7,NVDA,XNAS,USD,2020-01-01T00:00:00+00:00,
8,NFLX,XNAS,USD,2020-01-01T00:00:00+00:00,
9,ADBE,XNAS,USD,2020-01-01T00:00:00+00:00,
10,CRM,XNAS,USD,2020-01-01T00:00:00+00:00,
11,PYPL,XNAS,USD,2020-01-01T00:00:00+00:00,
12,INTC,XNAS,USD,2020-01-01T00:00:00+00:00,
13,AMD,XNAS,USD,2020-01-01T00:00:00+00:00,
14,ORCL,XNAS,USD,2020-01-01T00:00:00+00:00,
15,CSCO,XNAS,USD,2020-01-01T00:00:00+00:00,
16,QCOM,XNAS,USD,2020-01-01T00:00:00+00:00,
17,AVGO,XNAS,USD,2020-01-01T00:00:00+00:00,
18,TXN,XNAS,USD,2020-01-01T00:00:00+00:00,
19,MU,XNAS,USD,2020-01-01T00:00:00+00:00,
20,KLAC,XNAS,USD,2020-01-01T00:00:00+00:00,
21,LRCX,XNAS,USD,2020-01-01T00:00:00+00:00,
22,ADI,XNAS,USD,2020-01-01T00:00:00+00:00,
23,ASML,XNAS,USD,2020-01-01T00:00:00+00:00,
24,SNPS,XNAS,USD,2020-01-01T00:00:00+00:00,
25,CDNS,XNAS,USD,2020-01-01T00:00:00+00:00,
26,MCHP,XNAS,USD,2020-01-01T00:00:00+00:00,
27,WDAY,XNAS,USD,2020-01-01T00:00:00+00:00,
28,ADP,XNAS,USD,2020-01-01T00:00:00+00:00,
29,CTSH,XNAS,USD,2020-01-01T00:00:00+00:00,
30,FTNT,XNAS,USD,2020-01-01T00:00:00+00:00,
31,PAYX,XNAS,USD,2020-01-01T00:00:00+00:00,
32,CTAS,XNAS,USD,2020-01-01T00:00:00+00:00,
33,FAST,XNAS,USD,2020-01-01T00:00:00+00:00,
34,ODFL,XNAS,USD,2020-01-01T00:00:00+00:00,
35,ROST,XNAS,USD,2020-01-01T00:00:00+00:00,
36,COST,XNAS,USD,2020-01-01T00:00:00+00:00,
37,WBA,XNAS,USD,2020-01-01T00:00:00+00:00,
38,REGN,XNAS,USD,2020-01-01T00:00:00+00:00,
39,VRTX,XNAS,USD,2020-01-01T00:00:00+00:00,
40,GILD,XNAS,USD,2020-01-01T00:00:00+00:00,
41,AMGN,XNAS,USD,2020-01-01T00:00:00+00:00,
