symbol_id,ticker,exchange,currency,active_from,active_to
1,AAPL,XNAS,USD,2020-01-01T00:00:00+00:00,
2,MSFT,XNAS,USD,2020-01-01T00:00:00+00:00,
3,GOOGL,XNAS,USD,2020-01-01T00:00:00+00:00,
4,AMZN,XNAS,USD,2020-01-01T00:00:00+00:00,
5,TSLA,XNAS,USD,2020-01-01T00:00:00+00:00,
6,META,XNAS,USD,2020-01-01T00:00:00+00:00,
7,NVDA,XNAS,USD,2020-01-01T00:00:00+00:00,
8,NFLX,XNAS,USD,2020-01-01T00:00:00+00:00,
9,ADBE,XNAS,USD,2020-01-01T00:00:00+00:00,
10,CRM,XNAS,USD,2020-01-01T00:00:00+00:00,
11,PYPL,XNAS,USD,2020-01-01T00:00:00+00:00,
12,INTC,XNAS,USD,2020-01-01T00:00:00+00:00,
13,AMD,XNAS,USD,2020-01-01T00:00:00+00:00,
14,ORCL,XNAS,USD,2020-01-01T00:00:00+00:00,
15,CSCO,XNAS,USD,2020-01-01T00:00:00+00:00,
16,QCOM,XNAS,USD,2020-01-01T00:00:00+00:00,
17,JPM,XNYS,USD,2020-01-01T00:00:00+00:00,
18,BAC,XNYS,USD,2020-01-01T00:00:00+00:00,
19,WMT,XNYS,USD,2020-01-01T00:00:00+00:00,
20,JNJ,XNYS,USD,2020-01-01T00:00:00+00:00,
21,PG,XNYS,USD,2020-01-01T00:00:00+00:00,
22,UNH,XNYS,USD,2020-01-01T00:00:00+00:00,
23,HD,XNYS,USD,2020-01-01T00:00:00+00:00,
24,DIS,XNYS,USD,2020-01-01T00:00:00+00:00,
25,V,XNYS,USD,2020-01-01T00:00:00+00:00,
26,MA,XNYS,USD,2020-01-01T00:00:00+00:00,
27,PFE,XNYS,USD,2020-01-01T00:00:00+00:00,
28,ABBV,XNYS,USD,2020-01-01T00:00:00+00:00,
29,KO,XNYS,USD,2020-01-01T00:00:00+00:00,
30,PEP,XNYS,USD,2020-01-01T00:00:00+00:00,
31,TMO,XNYS,USD,2020-01-01T00:00:00+00:00,
32,AVGO,XNYS,USD,2020-01-01T00:00:00+00:00,
33,COST,XNYS,USD,2020-01-01T00:00:00+00:00,
34,MRK,XNYS,USD,2020-01-01T00:00:00+00:00,
35,ABT,XNYS,USD,2020-01-01T00:00:00+00:00,
36,VZ,XNYS,USD,2020-01-01T00:00:00+00:00,
